tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
1998,KLUI,15111,151,15,9,2737,3755264,386005805,351109988,34895817,41203918,327270,338079495,0,0,0,5,1,0.1076,1372037,12749659,15054409,119573,0.0,0.0
2000,KLUI,15111,151,15,10,2443,5024046,516603912,363332938,153270974,2293334,321604,337389285,0,20081479,2,4,1,0.0328,2056507,62738835,938737,131643,0.0,0.0389
1998,KLUI,15112,151,15,22,2298,832329,122220677,95289222,26931455,2217089,1119857,83280808,220024,0,0,6,0,0.0309,362197,11719519,964791,487318,0.0026,0.0
2000,KLUI,15112,151,15,24,2514,1593277,202174866,149235411,52939455,1062696,1095384,119926945,7582072,7594944,1,3,1,0.0301,633762,21057858,422711,435714,0.0632,0.0376
1998,KLUI,15121,151,15,31,13723,5296738,1685682924,1072617282,613065642,22876955,6291230,827509572,147243346,81431417,3,8,6,0.0086,385975,44674316,1667052,458444,0.1779,0.0483
2000,KLUI,15121,151,15,30,14810,7883425,1183556556,924729808,258826748,30871419,8137636,767190520,113238907,1076310939,18,14,6,0.0305,532304,17476485,2084498,549469,0.1476,0.9094
1998,KLUI,15122,151,15,163,12516,1364784,566335980,407446543,158889437,12214597,3940667,375881317,9728960,209298095,5,49,4,0.0086,109043,12694905,975919,314850,0.0259,0.3696
2000,KLUI,15122,151,15,161,9874,1066637,443739657,324078749,119660908,1450472,3303765,297275017,6178113,139272902,40,25,5,0.0089,108025,12118788,146898,334592,0.0208,0.3139
1998,KLUI,15123,151,15,7,892,548851,82831372,70083616,12747756,5841320,1149941,66277033,0,0,0,2,0,0.0431,615304,14291206,6548565,1289172,0.0,0.0
2000,KLUI,15123,151,15,9,849,252894,69281052,59056896,10224156,2844238,716927,53133311,0,55370678,7,1,0,0.0247,297873,12042587,3350104,844437,0.0,0.7992
1998,KLUI,15124,151,15,133,51755,23676632,7174769435,5633496459,1541272976,355217169,125256232,5086420191,21336354,1303143288,8,53,22,0.0154,457475,29780175,6863437,2420176,0.0042,0.1816
2000,KLUI,15124,151,15,161,43556,58395852,8276644330,6323778033,1952866297,82491309,134542973,5605260857,47084536,4627776034,106,42,22,0.0299,1340707,44835758,1893914,3088965,0.0084,0.5591
1998,KLUI,15125,151,15,80,2846,82298,134950483,117821935,17128548,128330,1750310,111322590,0,0,0,20,0,0.0048,28917,6018464,45091,615007,0.0,0.0
2000,KLUI,15125,151,15,94,3045,128906,151970130,138229980,13740150,178500,1400059,129995823,0,0,0,14,0,0.0094,42334,4512365,58621,459789,0.0,0.0
1998,KLUI,15129,151,15,37,3629,1286697,243048193,195791192,47257001,11682082,2586274,178980543,6243182,0,0,12,5,0.0272,354560,13022045,3219091,712669,0.0349,0.0
2000,KLUI,15129,151,15,62,6120,6215025,377918953,301535501,76383452,61890067,5522779,267400615,16853636,307409701,10,8,4,0.0814,1015527,12480956,10112756,902415,0.063,0.8134
1998,KLUI,15131,151,15,12,9977,2196920,480795023,318683339,162111684,3080557,14572087,234361668,44332256,3926128,1,4,2,0.0136,220198,16248540,308766,1460568,0.1892,0.0082
2000,KLUI,15131,151,15,12,9435,6494491,621826749,392288271,229538478,4926322,14586024,319621354,92884702,200327257,7,4,1,0.0283,688340,24328403,522133,1545948,0.2906,0.3222
1998,KLUI,15132,151,15,12,844,48724,16220927,11271234,4949693,4350,111783,9556039,0,0,0,1,1,0.0098,57730,5864565,5154,132444,0.0,0.0
2000,KLUI,15132,151,15,11,861,135647,37039584,9377331,27662253,17516,154331,7395374,15697,34041189,6,2,1,0.0049,157546,32128052,20344,179246,0.0021,0.919
1998,KLUI,15133,151,15,31,2754,844499,117357697,93567786,23789911,1035160,2838941,81333728,4136971,0,0,7,0,0.0355,306645,8638312,375875,1030843,0.0509,0.0
2000,KLUI,15133,151,15,25,3344,541565,139165864,116839601,22326263,10025003,4129829,98410721,1529626,4256512,1,4,0,0.0243,161951,6676514,2997908,1234997,0.0155,0.0306
1998,KLUI,15134,151,15,7,492,149364,34880771,25232056,9648715,6427013,323282,22785458,2425,0,0,3,1,0.0155,303585,19611209,13063035,657077,0.0001,0.0
2000,KLUI,15134,151,15,7,2846,1743284,37618009,19646612,17971397,1050615,817104,16901560,363836,22500710,3,3,0,0.097,612538,6314616,369155,287106,0.0215,0.5981
1998,KLUI,15139,151,15,10,1321,228459,193340369,157101902,36238467,63556017,1449669,129337331,48717825,0,0,2,0,0.0063,172944,27432602,48112049,1097403,0.3767,0.0
2000,KLUI,15139,151,15,7,496,680083,539454362,202122943,337331419,6078463,2852403,109606747,53144421,74419,1,1,0,0.002,1371135,680103667,12254966,5750812,0.4849,0.0001
1998,KLUI,15141,151,15,202,48234,491028498,10645428059,7264408863,3381019196,3634652491,80399478,6847920150,15163349,1351187970,7,84,26,0.1452,10180132,70096181,75354573,1666863,0.0022,0.1269
2000,KLUI,15141,151,15,180,44207,105719415,11525368502,8288329202,3237039300,980212095,88019214,7644662491,15196324,3120617684,43,59,27,0.0327,2391463,73224587,22173233,1991070,0.002,0.2708
1998,KLUI,15142,151,15,1,47,0,1090405,721373,369032,32750,6734,655415,0,0,0,1,0,,,7851745,696809,143277,0.0,0.0
1998,KLUI,15143,151,15,25,1736,33882547,528109655,390524991,137584664,60000,7095535,371092191,44048,262862418,1,2,0,0.2463,19517596,79253839,34562,4087290,0.0001,0.4977
2000,KLUI,15143,151,15,46,3904,40023851,1882158004,1683792853,198365151,4432123,32737567,1512623269,5838211,784783076,5,8,0,0.2018,10252011,50810746,1135277,8385647,0.0039,0.417
